inference_index,sim_time,policy_id,cmd_x,cmd_y,cmd_yaw
266,15.740000,3,-0.000000,-0.000000,-0.000000
267,15.760000,3,-0.000000,-0.000000,-0.000000
268,15.780000,3,-0.000000,-0.000000,-0.000000
269,15.800000,3,-0.000000,-0.000000,-0.000000
270,15.820000,3,-0.000000,-0.000000,-0.000000
271,15.840000,3,-0.000000,-0.000000,-0.000000
272,15.860000,3,-0.000000,-0.000000,-0.000000
273,15.880000,3,-0.000000,-0.000000,-0.000000
274,15.900000,3,-0.000000,-0.000000,-0.000000
275,15.920000,3,-0.000000,-0.000000,-0.000000
276,15.940000,3,-0.000000,-0.000000,-0.000000
277,15.960000,3,-0.000000,-0.000000,-0.000000
278,15.980000,3,-0.000000,-0.000000,-0.000000
279,16.000000,3,-0.000000,-0.000000,-0.000000
280,16.020000,3,-0.000000,-0.000000,-0.000000
281,16.040000,3,-0.000000,-0.000000,-0.000000
282,16.060000,3,-0.000000,-0.000000,-0.000000
283,16.080000,3,-0.000000,-0.000000,-0.000000
284,16.100000,3,-0.000000,-0.000000,-0.000000
285,16.120000,3,-0.000000,-0.000000,-0.000000
286,16.140000,3,-0.000000,-0.000000,-0.000000
287,16.160000,3,-0.000000,-0.000000,-0.000000
288,16.180000,3,-0.000000,-0.000000,-0.000000
289,16.200000,3,-0.000000,-0.000000,-0.000000
290,16.220000,3,-0.000000,-0.000000,-0.000000
291,16.240000,3,-0.000000,-0.000000,-0.000000
292,16.260000,3,-0.000000,-0.000000,-0.000000
293,16.280000,3,-0.000000,-0.000000,-0.000000
294,16.300000,3,-0.000000,-0.000000,-0.000000
295,16.320000,3,-0.000000,-0.000000,-0.000000
296,16.340000,3,-0.000000,-0.000000,-0.000000
297,16.360000,3,-0.000000,-0.000000,-0.000000
298,16.380000,3,-0.000000,-0.000000,-0.000000
299,16.400000,3,-0.000000,-0.000000,-0.000000
300,16.420000,3,-0.000000,-0.000000,-0.000000
301,16.440000,3,-0.000000,-0.000000,-0.000000
302,16.460000,3,-0.000000,-0.000000,-0.000000
303,16.480000,3,-0.000000,-0.000000,-0.000000
304,16.500000,3,-0.000000,-0.000000,-0.000000
305,16.520000,3,-0.000000,-0.000000,-0.000000
306,16.540000,3,-0.000000,-0.000000,-0.000000
307,16.560000,3,-0.000000,-0.000000,-0.000000
308,16.580000,3,-0.000000,-0.000000,-0.000000
309,16.600000,3,-0.000000,-0.000000,-0.000000
310,16.620000,3,-0.000000,-0.000000,-0.000000
311,16.640000,3,-0.000000,-0.000000,-0.000000
312,16.660000,3,-0.000000,-0.000000,-0.000000
313,16.680000,3,-0.000000,-0.000000,-0.000000
314,16.700000,3,-0.000000,-0.000000,-0.000000
315,16.720000,3,-0.000000,-0.000000,-0.000000
316,16.740000,3,-0.000000,-0.000000,-0.000000
317,16.760000,3,-0.000000,-0.000000,-0.000000
318,16.780000,3,-0.000000,-0.000000,-0.000000
319,16.800000,3,-0.000000,-0.000000,-0.000000
320,16.820000,3,-0.000000,-0.000000,-0.000000
321,16.840000,3,-0.000000,-0.000000,-0.000000
322,16.860000,3,-0.000000,-0.000000,-0.000000
323,16.880000,3,-0.000000,-0.000000,-0.000000
324,16.900000,3,-0.000000,-0.000000,-0.000000
325,16.920000,3,-0.000000,-0.000000,-0.000000
326,16.940000,3,-0.000000,-0.000000,-0.000000
327,16.960000,3,-0.000000,-0.000000,-0.000000
328,16.980000,3,-0.000000,-0.000000,-0.000000
329,17.000000,3,-0.000000,-0.000000,-0.000000
330,17.020000,3,-0.000000,-0.000000,-0.000000
331,17.040000,3,-0.000000,-0.000000,-0.000000
332,17.060000,3,0.013825,-0.045869,-0.000000
333,17.080000,3,0.046144,-0.383892,-0.000000
334,17.100000,3,0.052492,-0.660848,-0.000000
335,17.120000,3,0.061800,-1.000000,-0.000000
336,17.140000,3,0.067507,-1.000000,0.006226
337,17.160000,3,0.063082,-1.000000,0.041658
338,17.180000,3,0.051851,-1.000000,0.045549
339,17.200000,3,-0.000000,-1.000000,0.045320
340,17.220000,3,-0.042512,-1.000000,0.038682
341,17.240000,3,-0.081576,-1.000000,0.004715
342,17.260000,3,-0.088900,-1.000000,-0.000000
343,17.280000,3,-0.092502,-1.000000,-0.000000
344,17.300000,3,-0.093905,-1.000000,-0.000000
345,17.320000,3,-0.102451,-1.000000,-0.000000
346,17.340000,3,-0.128147,-1.000000,-0.000000
347,17.360000,3,-0.141667,-1.000000,-0.000000
348,17.380000,3,-0.143895,-1.000000,-0.000000
349,17.400000,3,-0.145604,-1.000000,-0.000000
350,17.420000,3,-0.147252,-1.000000,-0.000000
351,17.440000,3,-0.147465,-1.000000,-0.000000
352,17.460000,3,-0.147465,-1.000000,-0.000000
353,17.480000,3,-0.147465,-1.000000,-0.000000
354,17.500000,3,-0.148167,-1.000000,-0.000000
355,17.520000,3,-0.148137,-1.000000,-0.000000
