inference_index,sim_time,v0000,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,v0010,v0011,v0012,v0013,v0014,v0015
708,12.260000,-0.466924,1.257053,-0.548311,-0.079846,0.471820,-1.017301,0.311370,0.919179,0.116513,-2.085237,1.004345,0.263649,3.231447,2.291909,2.665554,2.472707
709,12.280000,-0.445195,1.191186,-0.552274,-0.050206,0.454099,-1.028641,0.268053,0.889799,0.052681,-2.190864,1.017912,0.275306,3.150910,2.336346,2.588113,2.521950
710,12.300000,-0.464705,1.121605,-0.574252,-0.052649,0.355418,-1.071629,0.221827,0.838593,-0.136479,-2.148335,0.927893,0.138589,3.080968,2.277544,2.557330,2.390254
711,12.320000,-0.479160,1.151556,-0.400883,-0.152554,0.353827,-0.984302,0.273701,0.885871,0.016405,-2.154796,0.931638,0.227571,3.095126,2.259249,2.577301,2.342904
712,12.340000,-0.498523,1.145035,-0.333163,-0.206777,0.350801,-0.978776,0.299460,0.912699,0.019425,-2.164839,0.941490,0.235850,3.177962,2.256748,2.663047,2.302710
713,12.360000,-0.484765,1.022178,-0.408613,-0.273919,0.289232,-0.938283,0.262419,0.894777,-0.084517,-2.061604,0.855658,0.022079,3.133380,2.155601,2.614726,2.262242
714,12.380000,-0.439209,1.113429,-0.320017,-0.264553,0.365126,-0.886033,0.241445,0.874275,-0.095785,-2.103354,0.917858,0.053846,3.154465,2.174342,2.666947,2.401088
715,12.400000,-0.398098,1.154928,-0.361680,-0.266535,0.372392,-0.909142,0.232163,0.877519,-0.173683,-2.110915,1.002734,0.036469,3.237040,2.283644,2.718441,2.628097
716,12.420000,-0.422577,1.038632,-0.487624,-0.263225,0.296901,-0.937152,0.226988,0.851490,-0.208775,-2.077771,0.995262,-0.074719,3.208378,2.284685,2.645076,2.732468
717,12.440000,-0.494565,1.082692,-0.456556,-0.325309,0.296706,-0.924516,0.294343,0.927381,-0.120164,-1.990704,0.992561,-0.047454,3.194819,2.273726,2.742582,2.759961
718,12.460000,-0.538314,1.111087,-0.458457,-0.366416,0.274823,-0.976422,0.356723,0.989761,-0.109965,-1.995041,0.983300,-0.031148,3.222028,2.253612,2.939287,2.672977
719,12.480000,-0.506653,1.046086,-0.493323,-0.316119,0.292412,-0.959747,0.361707,1.002827,0.002171,-2.121601,1.031610,0.110186,3.179279,2.293103,2.971780,2.754230
720,12.500000,-0.499981,1.040900,-0.458895,-0.256105,0.293454,-0.965093,0.345299,1.009512,0.129482,-2.247133,1.052079,0.192087,3.132569,2.359803,2.922429,2.826933
721,12.520000,-0.473277,1.007778,-0.561693,-0.186224,0.295169,-0.956068,0.319405,0.949915,0.053374,-2.304891,1.044751,0.167905,3.158510,2.422419,2.788665,2.845028
722,12.540000,-0.547127,1.105920,-0.429705,-0.260665,0.298829,-0.901448,0.366152,1.046755,0.186656,-2.294660,1.054890,0.319614,3.305071,2.491964,2.890818,2.893879
723,12.560000,-0.597034,1.109845,-0.414603,-0.315862,0.246858,-0.882772,0.419628,1.107473,0.211412,-2.231332,1.013901,0.218522,3.415584,2.493771,2.984395,2.837944
724,12.580000,-0.543147,1.039564,-0.467602,-0.272115,0.314422,-0.839801,0.388088,1.111616,0.147868,-2.253595,1.112927,0.278554,3.452762,2.587015,3.020584,3.045142
725,12.600000,-0.539925,1.065899,-0.477469,-0.268151,0.302225,-0.804766,0.443938,1.112972,0.175098,-2.201486,1.138997,0.280516,3.465780,2.599649,3.117596,3.143052
